sujeet@sujeet-IdeaPad-Slim-5-13ARP10:~/Downloads/B125098-DAA-LAB-main/LAB2/Q2$ ./a.out 
n = 1000 | Normal = 8724 | Three-Way = 10781
n = 2000 | Normal = 19398 | Three-Way = 24036
n = 3000 | Normal = 30918 | Three-Way = 38250
n = 4000 | Normal = 42800 | Three-Way = 53282
n = 5000 | Normal = 55202 | Three-Way = 68319
n = 6000 | Normal = 67878 | Three-Way = 84246
n = 7000 | Normal = 80541 | Three-Way = 100158
n = 8000 | Normal = 93554 | Three-Way = 116470
n = 9000 | Normal = 106966 | Three-Way = 132872
n = 10000 | Normal = 120522 | Three-Way = 149793

CSV file created: merge_sort_comparison.csv
